customer_id,age,annual_income,loan_amount,credit_score,spending_ratio
CUST_1000,28.0,300000.0,401493.54837947065,720.0,27.391260986525936
CUST_1001,62.0,300000.0,339232.47930051724,720.0,89.7852397539736
CUST_1002,45.0,2500000.0,220442.15916893256,720.0,31.84452088107105
CUST_1003,35.0,300000.0,674927.533039587,810.0,74.79547670470994
CUST_1004,22.0,300000.0,94747.37434089003,720.0,40.38096183863713
CUST_1005,22.0,800000.0,73141.4855639529,810.0,17.53286637062336
CUST_1006,,500000.0,434777.6381785572,810.0,5.964376792582305
CUST_1007,50.0,800000.0,165660.2923894953,720.0,53.983160331372574
CUST_1008,35.0,,425422.7622065186,650.0,92.82009366940395
CUST_1009,45.0,500000.0,497153.9678574234,,38.2222574428284
CUST_1010,,,62898.65773751668,650.0,37.147310059374036
CUST_1011,62.0,,479912.3176140646,650.0,35.968245606449784
CUST_1012,45.0,2500000.0,168957.07973368495,580.0,51.84894535743726
CUST_1013,22.0,300000.0,192846.58164922116,580.0,44.65983950818642
CUST_1014,22.0,500000.0,247016.99841706041,810.0,84.1923164054313
CUST_1015,22.0,500000.0,571774.7919129551,720.0,50.49687125511413
CUST_1016,28.0,500000.0,53860.23387311717,720.0,50.69820543697119
CUST_1017,35.0,1200000.0,179574.91278756465,650.0,17.453443524850094
CUST_1018,28.0,,282772.3196267317,,93.44655868193473
CUST_1019,28.0,800000.0,306536.0835090209,,27.49756017819467
CUST_1020,35.0,2500000.0,285877.1331422216,580.0,11.60276607136424
CUST_1021,22.0,500000.0,78874.59111906186,,64.68316240776879
CUST_1022,28.0,2500000.0,121162.37426195481,,58.58297331411854
CUST_1023,28.0,,138856.42448186694,810.0,42.363108859347115
CUST_1024,35.0,500000.0,376374.7525573043,720.0,42.997301049261026
CUST_1025,45.0,300000.0,115356.6298353264,580.0,75.6557528941788
CUST_1026,22.0,800000.0,97323.01824724971,350.0,22.614137608968417
CUST_1027,35.0,10000000.0,681405.7737900016,650.0,78.82279870504007
CUST_1028,35.0,300000.0,51780.55953445705,,63.387240250551635
CUST_1029,,800000.0,1275764.5987808174,810.0,42.707279640157196
CUST_1030,35.0,300000.0,275909.9708873506,650.0,46.222575492548174
CUST_1031,22.0,500000.0,402598.603287674,650.0,28.098248646748623
CUST_1032,,500000.0,119803.55170098413,580.0,72.69028994272773
CUST_1033,50.0,10000000.0,52883.74594760231,,51.158726807474096
CUST_1034,62.0,800000.0,317782.5756869401,650.0,33.87690884748592
CUST_1035,45.0,500000.0,409327.78729868017,720.0,58.644510418485524
CUST_1036,28.0,300000.0,319781.3207096188,650.0,94.61610068461907
CUST_1037,,300000.0,80828.53634204433,350.0,44.173605169089846
CUST_1038,35.0,300000.0,330020.18472085084,650.0,87.86222607007576
CUST_1039,28.0,300000.0,343000.6695456033,650.0,36.05151559321095
CUST_1040,22.0,1200000.0,264905.2494663762,720.0,9.92594362324873
CUST_1041,35.0,500000.0,340585.9451384826,580.0,23.3817895731586
CUST_1042,,500000.0,424058.53493576095,580.0,42.68256289949158
CUST_1043,50.0,300000.0,240178.5648625861,650.0,24.767143573511213
CUST_1044,28.0,1200000.0,68555.71447898315,650.0,5.020433439642998
CUST_1045,35.0,800000.0,183740.79675752443,650.0,87.35013839727745
CUST_1046,28.0,,66165.95931486506,650.0,80.9491470107836
CUST_1047,35.0,800000.0,154695.40696506706,650.0,71.80630083382525
CUST_1048,35.0,500000.0,154548.09461012622,720.0,20.103313608142578
CUST_1049,22.0,,63657.876114710154,650.0,15.832721858898745
CUST_1050,62.0,500000.0,135793.99945987616,810.0,11.084427452514483
CUST_1051,45.0,500000.0,73531.1809756145,650.0,70.16262698956291
CUST_1052,50.0,300000.0,380297.14201509603,810.0,88.59271646190967
CUST_1053,50.0,2500000.0,640105.9970123997,720.0,43.74822388217333
CUST_1054,35.0,1200000.0,65012.92674649115,580.0,15.722660479644334
CUST_1055,50.0,800000.0,670731.2468137372,720.0,51.11535386588959
CUST_1056,,500000.0,197870.30987775224,350.0,36.39487167127671
CUST_1057,22.0,500000.0,121210.93525572041,810.0,38.73424319149979
CUST_1058,,800000.0,65995.32494791441,650.0,60.919756174013656
CUST_1059,28.0,500000.0,188879.29935427872,,69.68463019359821
CUST_1060,28.0,,366476.9780395236,650.0,14.954323898584477
CUST_1061,28.0,500000.0,295575.57155672996,810.0,8.203120772582874
CUST_1062,45.0,1200000.0,60306.245899209294,,94.48972724171433
CUST_1063,28.0,500000.0,65139.164811650495,650.0,25.945551402399666
CUST_1064,28.0,,153125.18624321755,720.0,9.844747241761317
CUST_1065,35.0,800000.0,119993.9218760098,720.0,22.0887796186328
CUST_1066,22.0,300000.0,102893.21834651192,650.0,8.506206171361779
CUST_1067,45.0,300000.0,115980.03569110233,580.0,40.26298051554545
CUST_1068,,300000.0,375401.0062313432,,77.21616060061919
CUST_1069,62.0,500000.0,579658.5189086855,650.0,35.71200047819485
CUST_1070,45.0,800000.0,153873.29683550674,650.0,44.97650661905299
CUST_1071,22.0,500000.0,523128.41364857805,810.0,65.80280962106949
CUST_1072,,300000.0,127572.89281144991,,50.800466306289216
CUST_1073,45.0,1200000.0,179419.57719790484,650.0,82.53011174191919
CUST_1074,45.0,1200000.0,101244.17419455772,,82.94321075411808
CUST_1075,45.0,1200000.0,254594.89239430893,350.0,5.891962594203828
CUST_1076,45.0,300000.0,822466.7935952644,650.0,75.02416758348792
CUST_1077,,500000.0,235012.3651620192,650.0,46.46602402175065
CUST_1078,28.0,10000000.0,138575.48572133685,650.0,93.99564871732967
CUST_1079,22.0,800000.0,258721.12369509676,810.0,48.490886828789165
CUST_1080,50.0,,76231.56885046214,650.0,93.82063508494677
CUST_1081,35.0,,489031.68713326124,810.0,72.9112425085163
CUST_1082,28.0,500000.0,189866.83644064693,720.0,27.37443961519757
CUST_1083,,2500000.0,169331.08238122036,650.0,53.45554813582619
CUST_1084,28.0,500000.0,226312.5521079921,720.0,94.29220755307244
CUST_1085,28.0,500000.0,246050.6106303654,650.0,82.17775469767314
CUST_1086,45.0,300000.0,64896.397451132994,,13.7630204412099
CUST_1087,35.0,800000.0,279529.345904876,720.0,68.57347971289965
CUST_1088,50.0,1200000.0,105396.35317830209,,36.10216272837317
CUST_1089,35.0,500000.0,300319.57225390675,650.0,5.628403569231331
CUST_1090,22.0,800000.0,395796.14279634383,720.0,41.31328721242996
CUST_1091,45.0,2500000.0,375885.78919909586,,26.127897955247416
CUST_1092,45.0,300000.0,210816.18061498052,580.0,78.69823434684244
CUST_1093,35.0,500000.0,196864.63600932603,810.0,35.35975479611889
CUST_1094,45.0,300000.0,80834.52699285018,650.0,79.47713245584353
CUST_1095,35.0,800000.0,348638.90152748564,580.0,5.0538144951315775
